area,dificuldade,enunciado,fonte,correta,incorretas,explicacao
GERAL,2,"Tratar dados para propósitos legítimos, específicos, explícitos e informados ao titular é o princípio da:","Art. 6º, I",Finalidade,Segurança | Não discriminação | Transparência,"Finalidade (Art. 6º, I), sem possibilidade de tratamento posterior de forma incompatível com esses propósitos."
GERAL,2,Demonstrar a adoção de medidas eficazes e capazes de comprovar o cumprimento da lei é o princípio da:,"Art. 6º, X",Responsabilização e prestação de contas,Adequação | Livre acesso | Qualidade dos dados,"Responsabilização e prestação de contas (accountability): demonstração, pelo agente, da adoção de medidas eficazes e da sua eficácia (Art. 6º, X)."
GERAL,2,Quantos princípios expressos o Art. 6º da LGPD lista (além da boa-fé do caput)?,Art. 6º,Dez,Cinco | Sete | Quinze,"Dez: finalidade, adequação, necessidade, livre acesso, qualidade dos dados, transparência, segurança, prevenção, não discriminação e responsabilização e prestação de contas (Art. 6º, I a X)."
GERAL,1,O consentimento é a única hipótese legal para tratar dados pessoais?,Art. 7º,Não: o Art. 7º prevê dez hipóteses legais,"Sim, é a única | Sim, exceto para órgãos públicos | Sim, para dados de clientes","Não. O Art. 7º lista dez hipóteses (I a X): consentimento, obrigação legal, políticas públicas, pesquisa, execução de contrato, exercício de direitos, proteção da vida, tutela da saúde, legítimo interesse e proteção do crédito."
GERAL,2,Tratar dados para cumprir uma exigência da lei ou de um regulador tem como base legal:,"Art. 7º, II",Cumprimento de obrigação legal ou regulatória,Consentimento do titular | Legítimo interesse | Proteção ao crédito,"Cumprimento de obrigação legal ou regulatória pelo controlador (Art. 7º, II)."
GERAL,2,A base legal de 'execução de contrato' exige que o tratamento seja necessário ao contrato e ocorra:,"Art. 7º, V","A pedido do titular, que é parte do contrato",Por decisão exclusiva da empresa | Com autorização da ANPD | Somente após consentimento por escrito,"A pedido do titular dos dados: tratamento necessário para a execução de contrato ou de procedimentos preliminares do qual o titular seja parte (Art. 7º, V)."
GERAL,3,O legítimo interesse só pode fundamentar tratamento para finalidades legítimas consideradas a partir de:,"Art. 7º, IX e Art. 10","Situações concretas, com teste de balanceamento",Qualquer vantagem comercial | Situações hipotéticas futuras | A vontade do gestor da área,"Situações concretas (Art. 10, caput). O Guia da ANPD (2024) afasta interesses baseados em situações abstratas ou meramente especulativas e recomenda o teste de balanceamento antes do tratamento."
GERAL,3,"Se a lei dispensa o consentimento em determinado caso, o controlador fica livre das demais obrigações da LGPD?","Art. 7º, § 6º",Não: princípios e direitos do titular continuam valendo,"Sim, integralmente | Sim, exceto quanto à segurança | Sim, para dados não sensíveis","Não. A dispensa do consentimento não desobriga os agentes das demais obrigações, especialmente dos princípios e dos direitos do titular (Art. 7º, § 6º)."
GERAL,2,Autorizações genéricas para o tratamento de dados pessoais são:,"Art. 8º, § 4º",Nulas,Válidas por 12 meses | Válidas se assinadas | Válidas para dados não sensíveis,"Nulas. O consentimento deve referir-se a finalidades determinadas (Art. 8º, § 4º)."
GERAL,3,A quem cabe o ônus de provar que o consentimento foi obtido conforme a lei?,"Art. 8º, § 2º",Ao controlador,Ao titular | À ANPD | Ao operador,"Ao controlador (Art. 8º, § 2º). Por isso o consentimento por escrito deve constar de cláusula destacada (§ 1º)."
GERAL,2,O titular pode revogar o consentimento:,"Art. 8º, § 5º","A qualquer momento, por procedimento gratuito e facilitado","Somente após 12 meses | Apenas mediante pagamento de taxa | Nunca, depois de concedido","A qualquer momento, mediante manifestação expressa, por procedimento gratuito e facilitado (Art. 8º, § 5º)."
GERAL,3,O legítimo interesse pode ser usado como base legal para dados pessoais sensíveis?,Art. 11,Não: o Art. 11 não prevê essa hipótese para dados sensíveis,"Sim, sempre | Sim, com teste de balanceamento | Sim, para dados de saúde","Não. O Art. 11 não prevê legítimo interesse entre as hipóteses para dados sensíveis; a hipótese do Art. 7º, IX, só se aplica a dados não sensíveis (Guia de Legítimo Interesse da ANPD, 2024)."
GERAL,1,Qual destes é um direito do titular previsto no Art. 18?,"Art. 18, V",Portabilidade dos dados a outro fornecedor,Receber pagamento pelo uso dos dados | Acessar os dados de outros titulares | Exigir a demissão de quem tratou os dados,"Portabilidade dos dados a outro fornecedor, mediante requisição expressa (Art. 18, V). Os demais itens não constam da lei."
GERAL,2,Prazo para o controlador fornecer a declaração clara e completa sobre a existência de tratamento e o acesso:,"Art. 19, II",Até 15 dias,Até 72 horas | Até 30 dias | Até 90 dias,"Até 15 (quinze) dias, contados do requerimento do titular (Art. 19, II). Em formato simplificado, a resposta é imediata (Art. 19, I)."
GERAL,2,O atendimento aos requerimentos do titular (Art. 18) pode ser cobrado?,"Art. 18, § 5º","Não, é sem custos para o titular","Sim, uma taxa administrativa | Sim, se o pedido for por escrito | Sim, para portabilidade","Não: será atendido sem custos para o titular, nos prazos e termos previstos em regulamento (Art. 18, § 5º)."
GERAL,2,"Diante de decisão tomada unicamente com base em tratamento automatizado, o titular tem direito a:",Art. 20,Solicitar a revisão da decisão,Exigir indenização automática | Proibir o uso de computadores | Nada; decisões automatizadas são definitivas,"Solicitar a revisão da decisão, inclusive as que definem perfil pessoal, profissional, de consumo e de crédito (Art. 20). O controlador deve informar os critérios, observados os segredos comercial e industrial (§ 1º)."
GERAL,2,"Após o término do tratamento, os dados pessoais devem ser eliminados, salvo conservação para:",Art. 16,"Obrigação legal, pesquisa, transferência lícita ou uso exclusivo anonimizado",Qualquer finalidade futura que a empresa imagine | Venda a parceiros comerciais | Nenhuma hipótese: sempre eliminar,"Cumprimento de obrigação legal ou regulatória; estudo por órgão de pesquisa; transferência a terceiro respeitada a lei; ou uso exclusivo do controlador, desde que anonimizados (Art. 16, I a IV)."
GERAL,2,O registro das operações de tratamento (ROPA) é obrigatório para:,Art. 37,O controlador e o operador,Somente o controlador | Somente o operador | Apenas órgãos públicos,"Controlador E operador: ambos devem manter registro das operações que realizarem, especialmente quando baseadas no legítimo interesse (Art. 37)."
GERAL,3,"O relatório de impacto (RIPD) deve conter, no mínimo:","Art. 38, parágrafo único","Tipos de dados, metodologia de coleta e segurança, e medidas de mitigação de risco",Apenas a lista de funcionários | O faturamento da empresa | A senha dos sistemas,"A descrição dos tipos de dados coletados, a metodologia de coleta e de garantia da segurança e a análise das medidas, salvaguardas e mecanismos de mitigação de risco adotados (Art. 38, parágrafo único)."
GERAL,2,A identidade e o contato do encarregado devem ser:,"Art. 41, § 1º","Divulgados publicamente, preferencialmente no site",Mantidos em sigilo | Informados apenas à ANPD | Divulgados só a pedido judicial,"Divulgados publicamente, de forma clara e objetiva, preferencialmente no sítio eletrônico do controlador (Art. 41, § 1º). A Resolução CD/ANPD nº 18/2024 exige o nome completo, não apenas um e-mail."
GERAL,1,Orientar os funcionários e contratados sobre as práticas de proteção de dados é atribuição do:,"Art. 41, § 2º, III",Encarregado,Titular | Operador | Sindicato,"Do encarregado, entre suas atividades legais (Art. 41, § 2º, III), ao lado de receber comunicações dos titulares e da ANPD e adotar providências."
GERAL,3,O operador responde solidariamente pelos danos quando:,"Art. 42, § 1º, I",Descumpre a lei ou as instruções lícitas do controlador,"Sempre, em qualquer caso | Nunca; a responsabilidade é só do controlador | Apenas se for empresa pública","Descumprir as obrigações da legislação de proteção de dados ou não seguir as instruções lícitas do controlador, hipótese em que se equipara ao controlador (Art. 42, § 1º, I)."
GERAL,2,As medidas de segurança do Art. 46 devem ser observadas:,"Art. 46, § 2º",Desde a concepção do produto ou serviço até a execução,Somente após o lançamento | Apenas quando a ANPD exigir | Só para sistemas com dados sensíveis,"Desde a fase de concepção do produto ou do serviço até a sua execução (Art. 46, § 2º)."
GERAL,2,"Quem deve comunicar um incidente de segurança com risco relevante, e a quem?",Art. 48,"O controlador, à ANPD e aos titulares","O operador, apenas à ANPD | O encarregado, apenas à polícia | Ninguém, se o incidente foi interno","O controlador, à autoridade nacional E ao titular (Art. 48, caput). A ANPD esclarece que comunicar só à ANPD não cumpre a obrigação; havendo risco relevante, os titulares devem ser comunicados."
GERAL,2,Prazo para o controlador comunicar à ANPD um incidente que possa acarretar risco ou dano relevante:,"Art. 48 + Resolução CD/ANPD nº 15/2024, art. 6º","3 dias úteis, contados do conhecimento de que afetou dados pessoais",72 horas | 30 dias corridos | Não há prazo definido,"Três dias úteis, contados do conhecimento pelo controlador de que o incidente afetou dados pessoais (Res. CD/ANPD nº 15/2024, art. 6º, § 1º). As 72 horas são regra do GDPR europeu, não da LGPD."
GERAL,3,"Agentes de tratamento de pequeno porte, pela Resolução CD/ANPD nº 2/2022:","Res. CD/ANPD nº 2/2022, arts. 11 e 14",Dispensados do encarregado (com canal ao titular) e com prazos em dobro,Totalmente isentos da LGPD | Obrigados a ter encarregado certificado | Sujeitos a multa em dobro,"Não são obrigados a indicar encarregado, mas devem manter canal de comunicação com o titular (art. 11), e têm prazos em dobro para atender titulares e comunicar incidentes (art. 14)."
GERAL,1,A multa simples prevista na LGPD pode chegar a:,"Art. 52, II","2% do faturamento, limitada a R$ 50 milhões por infração","10% do faturamento, sem limite | R$ 1.000 por dia, sem teto | Prisão do administrador","Até 2% do faturamento da pessoa jurídica, grupo ou conglomerado no Brasil no último exercício, excluídos os tributos, limitada, no total, a R$ 50.000.000,00 por infração (Art. 52, II)."
GERAL,3,Órgãos e entidades públicos podem receber multa da ANPD?,"Art. 52, § 3º",Não: só advertência e sanções não pecuniárias,"Sim, como qualquer empresa | Sim, em dobro | Sim, mas só multa diária","Não. A eles aplicam-se apenas advertência e as sanções não pecuniárias (incisos I, IV, V, VI, X, XI e XII), conforme Art. 52, § 3º, e Res. CD/ANPD nº 4/2023, art. 3º, § 5º."
GERAL,3,As sanções administrativas da LGPD (arts. 52 a 54) passaram a vigorar em:,"Art. 65, I-A",1º de agosto de 2021,15 de agosto de 2018 | 18 de setembro de 2020 | 1º de janeiro de 2023,"1º de agosto de 2021, por força da Lei nº 14.010/2020 (Art. 65, I-A). Os demais artigos vigoram desde 18/09/2020 e a estrutura da ANPD desde 28/12/2018."
GERAL,3,"Pela Resolução CD/ANPD nº 18/2024, o encarregado:","Res. CD/ANPD nº 18/2024, arts. 12, 14 e 19","Pode ser pessoa jurídica, não exige certificação e pode acumular funções sem conflito",Deve ser advogado com certificação | Deve ser funcionário exclusivo | Deve ser registrado na ANPD,"Pode ser pessoa natural ou jurídica (art. 12); não precisa de certificação ou formação específica (art. 14); pode acumular funções e atender mais de um agente, desde que sem conflito de interesse (art. 19)."
GERAL,2,Uma empresa com sede no exterior que oferece serviços a pessoas localizadas no Brasil está sujeita à LGPD?,"Art. 3º, II","Sim, pela oferta a indivíduos localizados no Brasil","Não, só empresas brasileiras | Só se tiver filial no Brasil | Só se for empresa de tecnologia","Sim. A lei se aplica independentemente do país da sede quando a atividade tem por objetivo a oferta de bens ou serviços ou o tratamento de dados de indivíduos localizados no território nacional (Art. 3º, II)."
GERAL,2,A LGPD NÃO se aplica ao tratamento de dados feito por pessoa natural para:,"Art. 4º, I",Fins exclusivamente particulares e não econômicos,Fins comerciais | Prestação de serviços | Cobrança de clientes,"Fins exclusivamente particulares e não econômicos (Art. 4º, I) — por exemplo, a agenda de contatos pessoal."
RH,1,Um atestado médico entregue ao RH é classificado como:,"Art. 5º, II",Dado pessoal sensível,Dado anonimizado | Dado público | Dado não pessoal,"Dado pessoal sensível: dado referente à saúde (Art. 5º, II)."
RH,1,A impressão digital coletada para o registro de ponto é:,"Art. 5º, II","Dado biométrico, portanto sensível","Dado comum, como o nome | Dado anonimizado | Dado sem proteção legal","Dado biométrico, que a lei classifica como dado pessoal sensível (Art. 5º, II), sujeito às hipóteses do Art. 11."
RH,1,A informação de que um empregado é filiado a sindicato é:,"Art. 5º, II",Dado pessoal sensível,Dado público por natureza | Dado comum | Dado irrelevante para a LGPD,"Dado pessoal sensível: 'filiação a sindicato ou a organização de caráter religioso, filosófico ou político' (Art. 5º, II)."
RH,2,A base legal típica para o RH tratar dados da folha de pagamento é:,"Art. 7º, II",Cumprimento de obrigação legal ou regulatória,Consentimento do empregado | Legítimo interesse do concorrente | Não é necessária base legal,"Cumprimento de obrigação legal ou regulatória pelo controlador (Art. 7º, II) — as obrigações trabalhistas e previdenciárias. Não depende de consentimento."
RH,2,O tratamento necessário para executar o contrato de trabalho de que o empregado é parte tem base no:,"Art. 7º, V","Art. 7º, V — execução de contrato","Art. 7º, X — proteção do crédito | Art. 7º, IV — pesquisa | Art. 7º, III — políticas públicas","Art. 7º, V: execução de contrato ou de procedimentos preliminares do qual seja parte o titular, a pedido dele."
RH,2,Dados de saúde do empregado (sensíveis) podem ser tratados sem consentimento quando indispensáveis para:,"Art. 11, II, 'a'",Cumprir obrigação legal ou regulatória,Atender ao legítimo interesse da empresa | Fazer marketing interno | Proteger o crédito,"Cumprimento de obrigação legal ou regulatória pelo controlador (Art. 11, II, 'a') — uma das hipóteses de dispensa de consentimento para dados sensíveis."
RH,3,"A hipótese de 'tutela da saúde' do Art. 11, II, 'f', aplica-se:","Art. 11, II, 'f'","Só a profissionais, serviços de saúde ou autoridade sanitária",A qualquer departamento que receba um atestado | A todas as empresas com plano de saúde | Ao setor financeiro,"Exclusivamente em procedimento realizado por profissionais de saúde, serviços de saúde ou autoridade sanitária. O RH, ao guardar um atestado, não a invoca — apoia-se na obrigação legal (alínea 'a')."
RH,2,"Currículos de candidatos não contratados, encerrado o processo seletivo, devem:",Arts. 15 e 16,"Ser eliminados, salvo hipótese legal de conservação",Ser guardados indefinidamente | Ser vendidos a agências de emprego | Ser publicados na intranet,"Ser eliminados após o término do tratamento (Art. 15, I; Art. 16), salvo conservação nas hipóteses do Art. 16 — por exemplo, cumprimento de obrigação legal."
RH,3,"Tratar dados de um candidato durante o processo seletivo, a pedido dele, pode ter base em:","Art. 7º, V","Procedimentos preliminares a contrato, a pedido do titular",Proteção do crédito | Tutela da saúde | Políticas públicas,"Procedimentos preliminares relacionados a contrato do qual o titular será parte, a pedido do titular (Art. 7º, V). O legítimo interesse também é possível, com teste de balanceamento (Guia ANPD 2024)."
RH,2,Dados de dependentes menores do empregado devem ser tratados:,Art. 14 + Enunciado CD/ANPD nº 1/2023,"No melhor interesse do menor, com base legal dos arts. 7º ou 11","Livremente, como os do titular adulto | Somente com ordem judicial | Nunca; é proibido","No melhor interesse da criança ou adolescente (Art. 14). O Enunciado nº 1/2023 admite qualquer hipótese dos arts. 7º ou 11, desde que observado e prevalecente o melhor interesse, avaliado no caso concreto."
RH,2,"Ao compartilhar dados do empregado com o plano de saúde, a empresa deve observar principalmente:","Art. 6º, I e VI; Art. 9º",Finalidade específica e transparência ao titular,"Nada, é compartilhamento livre | Apenas aviso ao gestor | Autorização do sindicato","Finalidade específica e transparência: o titular tem direito a informações claras sobre o uso compartilhado e sua finalidade (Art. 9º, V; Art. 6º, I e VI)."
RH,3,Operadoras de planos de saúde podem usar dados de saúde para selecionar riscos ao contratar beneficiários?,"Art. 11, § 5º","Não, é vedado pela lei","Sim, livremente | Sim, com consentimento | Sim, para planos coletivos","Não. É vedado às operadoras de planos privados o tratamento de dados de saúde para seleção de riscos na contratação e na contratação ou exclusão de beneficiários (Art. 11, § 5º)."
RH,3,"Monitorar empregados com webcam e registro de teclas (keylogger), segundo o Guia de Legítimo Interesse da ANPD:","Guia Orientativo Legítimo Interesse (ANPD, 2024)","É excessivo e desproporcional, mesmo se informado previamente",É permitido se constar no contrato | É obrigatório para segurança | É permitido em home office,"Não é admitido com base no legítimo interesse: interfere de forma excessiva e desproporcional nos direitos do titular, mesmo que a atividade tenha sido previamente informada (exemplo do próprio Guia)."
RH,2,"Publicar a lista de aniversariantes com a data de nascimento completa, sem avaliar necessidade, fere o princípio da:","Art. 6º, I e III",Necessidade,Portabilidade | Gratuidade | Reciprocidade,"Necessidade (Art. 6º, III — mínimo necessário) e finalidade (Art. 6º, I): a data completa de nascimento excede o que a comemoração exige."
RH,2,Os empregados que tratam dados no exercício das suas funções são considerados operadores?,"Guia Orientativo Agentes de Tratamento (ANPD, v2.0, 2022)","Não: atuam sob o poder diretivo da organização, que é o agente","Sim, cada um é um operador | Sim, se tiverem cargo de chefia | Sim, quando usam computador","Não. Indivíduos subordinados (funcionários, equipes) atuam sob o poder diretivo do agente de tratamento; a organização é o agente. O operador deve ser entidade distinta do controlador (Guia de Agentes da ANPD)."
RH,1,Afixar a lista de CPFs dos empregados no mural da empresa viola principalmente:,"Art. 6º, III e VII",Necessidade e segurança,Portabilidade | Livre acesso | Não discriminação,"Necessidade e segurança: exposição de dados a acessos não autorizados sem finalidade que a justifique (Art. 6º, III e VII; Art. 46)."
RH,2,Documentos trabalhistas de ex-empregados são conservados após o desligamento com base em:,"Art. 16, I",Cumprimento de obrigação legal ou regulatória,Consentimento do ex-empregado | Curiosidade histórica | Não podem ser conservados,"Conservação autorizada para cumprimento de obrigação legal ou regulatória pelo controlador (Art. 16, I), pelos prazos que a legislação trabalhista e previdenciária exigir."
RH,2,Um ex-empregado pede acesso aos seus dados. A declaração clara e completa deve ser fornecida em até:,"Art. 18, II; Art. 19, II",15 dias,48 horas | 60 dias | 6 meses,"15 dias, contados do requerimento (Art. 19, II); em formato simplificado, imediatamente (Art. 19, I)."
RH,3,O ex-empregado pede a eliminação de dados que a empresa é obrigada por lei a guardar. O RH deve:,"Art. 16, I; Art. 18, § 4º, II",Responder com as razões legais que impedem a eliminação,Apagar tudo imediatamente | Ignorar o pedido | Cobrar uma taxa,"Responder indicando as razões de fato ou de direito que impedem a providência (Art. 18, § 4º, II): a conservação é autorizada para cumprir obrigação legal (Art. 16, I)."
RH,2,"A empresa terceirizada que processa a folha de pagamento é, em regra:","Art. 5º, VII; Art. 39","Operadora, e deve seguir as instruções do controlador",Controladora conjunta sempre | Titular dos dados | Encarregada,Operadora: trata dados em nome do controlador e deve seguir as instruções fornecidas por ele (Art. 39).
RH,2,"Sobre o contrato entre o controlador e o operador, o Guia da ANPD orienta que:","Guia Orientativo Agentes de Tratamento (ANPD, v2.0, 2022); Art. 39","É boa prática, com instruções claras que o controlador verifica",É proibido pela LGPD | Só é necessário para órgãos públicos | Substitui a necessidade de base legal,"A LGPD não exige expressamente o contrato, mas ele se mostra uma boa prática — e o controlador deve verificar a observância das suas instruções (Art. 39)."
RH,1,Promover treinamento periódico de LGPD para os empregados relaciona-se à atribuição legal do encarregado de:,"Art. 41, § 2º, III",Orientar funcionários e contratados,Aplicar multas | Fiscalizar a ANPD | Aprovar contratações,"Orientar os funcionários e os contratados a respeito das práticas de proteção de dados (Art. 41, § 2º, III)."
RH,3,"Indicar o chefe do RH como encarregado, mantendo-o na chefia, pode configurar:","Res. CD/ANPD nº 18/2024, art. 19; Guia Atuação do Encarregado (2024)",Conflito de interesse,"Uma exigência da lei | A situação ideal, por conhecer os dados | Nada relevante","Conflito de interesse: o Guia cita chefia de recursos humanos, TI, finanças ou saúde como posições que decidem meios e objetivos do tratamento, comprometendo a objetividade do encarregado."
RH,3,Uma planilha com salários foi enviada por e-mail a um destinatário errado. Isso é um incidente relevante?,"Res. CD/ANPD nº 15/2024, art. 5º, III",Pode ser: dados financeiros são critério de risco relevante,"Não, e-mail interno nunca é incidente | Só se houver mais de mil pessoas | Só se o destinatário reclamar",Pode ser: dados financeiros são um dos critérios de risco ou dano relevante quando o incidente puder afetar significativamente direitos dos titulares (art. 5º). O controlador deve avaliar e registrar o incidente.
RH,2,Vazamento de dados de saúde de empregados: em quanto tempo o controlador deve comunicar a ANPD?,"Res. CD/ANPD nº 15/2024, arts. 5º e 6º",3 dias úteis do conhecimento,72 horas | 15 dias | Não precisa,"Dados sensíveis são critério de risco relevante (art. 5º, I); a comunicação deve ocorrer em 3 dias úteis do conhecimento de que o incidente afetou dados pessoais (art. 6º)."
RH,2,"Ao enviar holerites ou dados de salário por e-mail, o Guia de Segurança da ANPD recomenda:","Guia Segurança da Informação para pequeno porte (ANPD, 2021)",Usar conexões cifradas ou criptografia fim a fim,Enviar em texto simples | Usar pendrive sem senha | Publicar no grupo da equipe,"Conexões cifradas (TLS/HTTPS) ou aplicativos com criptografia fim a fim, inclusive para e-mails com salários ou prontuários."
RH,1,"Termos de confidencialidade (NDA) com funcionários são, segundo o Guia de Segurança da ANPD:","Guia Segurança da Informação para pequeno porte (ANPD, 2021)",Medida administrativa recomendada,Proibidos pela LGPD | Exigidos apenas para diretores | Substitutos do treinamento,"Uma medida administrativa recomendada dentro do gerenciamento de contratos, ao lado de cláusulas de segurança com terceiros."
RH,2,Um gestor consulta o exame admissional de um subordinado sem necessidade para a função. Isso fere:,"Art. 6º, III; Guia Segurança (ANPD): menor privilégio",A necessidade e o controle de acesso por menor privilégio,"Nada, ele é o chefe | Apenas a etiqueta | A portabilidade","O princípio da necessidade (Art. 6º, III) e o controle de acesso na proporção da necessidade ('menor privilégio', 'need to know') do Guia de Segurança da ANPD; dados de saúde são sensíveis (Art. 5º, II)."
RH,3,Ponto biométrico para todos os empregados: o que a Resolução CD/ANPD nº 2/2022 diz sobre o risco?,"Res. CD/ANPD nº 2/2022, art. 4º; Art. 38",Dados sensíveis são critério de alto risco; a ANPD pode exigir RIPD,É sempre de baixo risco | É proibido | Dispensa qualquer avaliação,"O uso de dados sensíveis é critério específico de alto risco (art. 4º, II, 'd'), combinado a um critério geral; a ANPD pode determinar a elaboração de RIPD (Art. 38)."
RH,3,"O que é pseudonimização, segundo a LGPD?","Art. 13, § 4º","Perda da associação ao indivíduo, salvo com informação adicional guardada separadamente",Exclusão definitiva dos dados | Publicação sem o nome | O mesmo que anonimização,"Tratamento pelo qual um dado perde a associação direta ou indireta a um indivíduo, senão pelo uso de informação adicional mantida separadamente pelo controlador em ambiente controlado e seguro (Art. 13, § 4º)."
RH,2,Pedir consentimento do empregado para processar a folha de pagamento é:,"Art. 7º, II; Art. 8º, § 4º",Desnecessário: a base correta é a obrigação legal,Obrigatório por lei | Recomendado para todo tratamento | Exigido pela ANPD,"Desnecessário e inadequado: a base é a obrigação legal (Art. 7º, II). Consentimento genérico é nulo (Art. 8º, § 4º) e a dispensa do consentimento não afasta as demais obrigações (Art. 7º, § 6º)."
FINANCEIRO,1,Notas fiscais e documentos contábeis com dados pessoais são conservados com base em:,"Art. 7º, II; Art. 16, I",Cumprimento de obrigação legal ou regulatória,Consentimento do cliente | Marketing | Legítimo interesse do contador,"Cumprimento de obrigação legal ou regulatória: a lei autoriza conservar os dados após o término do tratamento para esse fim (Art. 16, I)."
FINANCEIRO,2,"Dados bancários e financeiros estão na lista de dados sensíveis do Art. 5º, II?","Art. 5º, II; Res. CD/ANPD nº 15/2024, art. 5º, III","Não, mas são critério de risco relevante em incidentes","Sim, são sensíveis | Não, e não exigem proteção | Só os de pessoa jurídica","Não estão na lista legal de sensíveis. Mas são critério de 'risco ou dano relevante' para comunicação de incidente (Res. 15/2024, art. 5º, III) e exigem proteção elevada (Art. 46)."
FINANCEIRO,2,A hipótese legal específica para o tratamento voltado à proteção do crédito é:,"Art. 7º, X","Art. 7º, X — proteção do crédito","Art. 7º, IV — pesquisa | Art. 7º, VII — proteção da vida | Art. 11 — dados sensíveis","Proteção do crédito, inclusive quanto ao disposto na legislação pertinente (Art. 7º, X)."
FINANCEIRO,3,"Dados sensíveis podem ser tratados, sem consentimento, para prevenção à fraude e segurança do titular quando:","Art. 11, II, 'g'",Na identificação e autenticação de cadastro em sistemas eletrônicos,Em qualquer análise de crédito | Para cobrança de dívidas | Para marketing de produtos financeiros,"Nos processos de identificação e autenticação de cadastro em sistemas eletrônicos, resguardados os direitos do Art. 9º, exceto se prevalecerem direitos e liberdades fundamentais do titular (Art. 11, II, 'g')."
FINANCEIRO,2,"Antes de usar o legítimo interesse para análise antifraude com dados não sensíveis, a ANPD recomenda:","Guia Orientativo Legítimo Interesse (ANPD, 2024)",Realizar e documentar o teste de balanceamento,Pedir autorização à ANPD | Publicar os critérios no jornal | Nada; basta a decisão da diretoria,"Realizar o teste de balanceamento (finalidade, necessidade, balanceamento e salvaguardas) para cada finalidade específica, documentando-o para demonstrar conformidade (Art. 6º, X; Art. 37)."
FINANCEIRO,1,Enviar por e-mail uma planilha de clientes sem qualquer proteção configura:,Art. 46,Falha nas medidas de segurança do Art. 46,Boa prática de agilidade | Exigência fiscal | Anonimização,Falha nas medidas técnicas e administrativas de segurança exigidas para proteger dados de acessos não autorizados e de comunicação acidental (Art. 46).
FINANCEIRO,1,Expor o valor da dívida de um cliente a terceiros durante a cobrança fere:,"Art. 6º, I e VII",Finalidade e segurança,"Nada, é permitido | Só a etiqueta comercial | A portabilidade","A finalidade e a segurança (comunicação não autorizada), além da privacidade que a lei protege (Art. 1º)."
